"subject" "activity" "mean"
"28" "WalkingDownStairs" -0.139396563077246
"28" "WalkingUpStairs" -0.323401541369843
"29" "Laying" -0.747047283845479
"29" "Sitting" -0.739022156685121
"29" "Standing" -0.746979641390065
"29" "Walking" -0.256846692509308
"29" "WalkingDownStairs" -0.178812689061223
"29" "WalkingUpStairs" -0.231956730511577
"30" "Laying" -0.73371945664569
"30" "Sitting" -0.732058477455571
"30" "Standing" -0.714291901922109
"30" "Walking" -0.267020565167016
"30" "WalkingDownStairs" -0.217523391374438
"30" "WalkingUpStairs" -0.33891298828135
